restaurant_id,name,city,area,cuisines,restaurant_type,price_range,avg_cost_for_two,rating,votes,online_order,table_booking,delivery,listed_in,payment_mode,established_year,seating_capacity,famous_dish
465,Fresh Cafe,Chandigarh,Sector 9,"Mughlai, North Indian",Bakery,Budget (₹0-200),121,3.8,3211,Yes,No,Yes,Buffet,UPI,2009,122,Burger
466,Little Kitchen,Bangalore,HSR Layout,"Cafe, Fast Food",Buffet,Budget (₹0-200),176,3.2,439,Yes,No,No,Desserts,Card,2012,105,Tacos
467,Spice Kitchen,Hyderabad,Gachibowli,"Mediterranean, North Indian",Casual Dining,Moderate (₹500-1000),870,2.7,801,Yes,No,No,Cafes,Cash,2015,92,Chole Bhature
468,Modern Dhaba,Nagpur,Ramdaspeth,"Cafe, Mexican",Dhaba,Budget (₹0-200),101,3.4,1432,Yes,Yes,Yes,Cafes,Card,2019,66,Butter Chicken
469,Grand Lounge,Nagpur,Manewada,"Thai, South Indian",Fine Dining,Affordable (₹200-500),474,3.7,844,No,No,No,Dine-out,UPI,2008,163,Burger
470,Grand Bites,Nagpur,Wardha Road,"Continental, Thai",Quick Bites,Moderate (₹500-1000),761,2.5,4802,No,Yes,Yes,Pubs and bars,Cash,2012,15,Dal Makhani
471,Delhi Dhaba,Indore,Palasia,"Mediterranean, Biryani",Bakery,Budget (₹0-200),119,3.7,1664,Yes,Yes,Yes,Dine-out,All Modes,2015,44,Pizza
472,Classic Garden,Pune,Koregaon Park,"Mediterranean, Burger",Casual Dining,Affordable (₹200-500),327,3.0,452,Yes,No,Yes,Buffet,Card,2017,143,Burger
473,Grand Kitchen,Bangalore,Hebbal,"Chinese, Desserts",Fine Dining,Affordable (₹200-500),288,4.8,1038,Yes,No,Yes,Dine-out,Cash,2018,195,Momos
474,Little Dhaba,Chennai,Adyar,"Biryani, Street Food",Quick Bites,Luxury (₹2000+),3472,3.9,1659,Yes,No,Yes,Cafes,All Modes,2010,130,Momos
475,Big Cafe,Kolkata,Dumdum,"Seafood, North Indian",Dhaba,Premium (₹1000-2000),1389,3.8,4538,Yes,No,No,Nightlife,All Modes,2014,106,Chole Bhature
476,Spice Corner,Lucknow,Aminabad,"Continental, Desserts",Cafe,Affordable (₹200-500),407,4.6,3075,Yes,Yes,Yes,Buffet,UPI,2017,135,Pizza
477,New Bites,Nagpur,Dharampeth,"South Indian, Continental",Dhaba,Luxury (₹2000+),3508,4.8,2865,Yes,Yes,Yes,Buffet,Cash,2017,118,Tandoori
478,Old Kitchen,Hyderabad,Gachibowli,"Thai, North Indian",Quick Bites,Moderate (₹500-1000),506,3.1,4942,No,No,Yes,Buffet,All Modes,2017,190,Dal Makhani
479,Classic Bites,Kochi,Edapally,"Fast Food, Street Food",Quick Bites,Premium (₹1000-2000),1315,3.7,4377,Yes,No,Yes,Desserts,Cash,2008,172,Dal Makhani
480,Fresh Cafe,Indore,Nipania,"Pizza, Fast Food",Dhaba,Moderate (₹500-1000),768,2.5,582,Yes,Yes,Yes,Nightlife,All Modes,2010,55,Burger
481,Golden House,Bangalore,Whitefield,"Mughlai, Cafe",Fine Dining,Premium (₹1000-2000),1923,2.6,1506,Yes,Yes,Yes,Cafes,Cash,2010,30,Pizza
482,Spice Restaurant,Delhi,Pitampura,"Chinese, Thai",Casual Dining,Luxury (₹2000+),2029,4.1,835,Yes,No,Yes,Buffet,Cash,2008,64,Chole Bhature
483,New Lounge,Indore,Vijay Nagar,"Desserts, Pizza",Buffet,Premium (₹1000-2000),1369,3.3,2820,Yes,No,Yes,Cafes,All Modes,2006,101,Sushi
484,The House,Pune,Hinjewadi,"Mexican, Continental",Casual Dining,Luxury (₹2000+),4698,4.8,2046,Yes,No,Yes,Desserts,All Modes,2021,115,Kebabs
485,Grand Point,Hyderabad,Banjara Hills,"Sushi, North Indian",Food Court,Budget (₹0-200),151,3.1,3979,Yes,No,Yes,Buffet,Cash,2017,85,Dal Makhani
486,Fresh Palace,Hyderabad,Hitech City,"Bakery, Desserts",Casual Dining,Affordable (₹200-500),286,4.5,4505,No,Yes,Yes,Cafes,Card,2012,64,Paneer Tikka
487,Spice Hub,Indore,Palasia,"North Indian, Fast Food",Food Court,Premium (₹1000-2000),1139,3.1,3911,Yes,Yes,No,Buffet,All Modes,2007,187,Burger
488,Urban Lounge,Chandigarh,Sector 8,"Bengali, Chinese",Food Court,Premium (₹1000-2000),1118,4.4,3589,No,No,No,Delivery,Cash,2007,97,Tandoori
489,Little Bistro,Lucknow,Indira Nagar,"Bakery, Thai",Quick Bites,Moderate (₹500-1000),597,2.5,516,No,No,No,Cafes,UPI,2016,183,Tacos
490,Classic Bar,Indore,MG Road,"Bengali, Bakery",Cafe,Budget (₹0-200),118,4.5,2598,No,Yes,No,Buffet,All Modes,2009,163,Pizza
491,Modern Corner,Bangalore,Koramangala,"Burger, Cafe",Fine Dining,Moderate (₹500-1000),578,3.7,3095,No,No,Yes,Dine-out,Card,2006,55,Sushi
492,Delhi Point,Ahmedabad,Vastrapur,"Mughlai, North Indian",Bar & Restaurant,Premium (₹1000-2000),1073,3.6,2863,Yes,No,No,Buffet,UPI,2014,188,Tacos
493,Spice Cafe,Hyderabad,Ameerpet,"Sushi, Bengali",Casual Dining,Moderate (₹500-1000),649,3.9,3629,No,No,Yes,Dine-out,Card,2011,198,Kebabs
494,Little Point,Mumbai,Powai,"Bakery, Italian",Quick Bites,Premium (₹1000-2000),1967,4.7,796,No,No,Yes,Delivery,UPI,2023,121,Paneer Tikka
495,Golden Kitchen,Nagpur,Wardha Road,"Italian, Pizza",Dhaba,Premium (₹1000-2000),1474,4.8,3085,Yes,No,No,Cafes,UPI,2019,104,Biryani
496,Spice Bistro,Delhi,Karol Bagh,"Seafood, Cafe",Cafe,Budget (₹0-200),123,4.3,4866,No,No,No,Cafes,UPI,2023,42,Butter Chicken
497,Little Bites,Pune,Hinjewadi,"Cafe, Mughlai",Dhaba,Budget (₹0-200),162,4.4,4352,No,No,No,Pubs and bars,Cash,2011,178,Tacos
498,Fresh Lounge,Delhi,Lajpat Nagar,"Mughlai, North Indian",Bar & Restaurant,Premium (₹1000-2000),1575,2.8,1699,Yes,Yes,Yes,Desserts,Cash,2007,41,Chole Bhature
499,Classic Cafe,Chennai,Nungambakkam,"Mediterranean, North Indian",Cafe,Moderate (₹500-1000),751,4.1,3654,Yes,No,Yes,Pubs and bars,UPI,2022,140,Dosa
500,Grand Point,Surat,Vesu,"South Indian, Pizza",Casual Dining,Affordable (₹200-500),310,4.8,4942,Yes,No,Yes,Dine-out,All Modes,2007,150,Pizza
